# T_K Q_known Q_missing Q_estimated missing_fraction
9.84844798e+00 8.54647033e+01 3.25794260e-254 8.54647033e+01 3.81203289e-256
1.00580863e+01 8.87933801e+01 7.87204036e-249 8.87933801e+01 8.86557123e-251
1.02721871e+01 9.22557301e+01 1.46968036e-243 9.22557301e+01 1.59305049e-245
1.04908453e+01 9.58567251e+01 2.13149708e-238 9.58567251e+01 2.22362811e-240
1.07141579e+01 9.96015055e+01 2.41411961e-233 9.96015055e+01 2.42377823e-235
1.09422241e+01 1.03495385e+02 2.14626472e-228 1.03495385e+02 2.07377818e-230
1.11751450e+01 1.07543858e+02 1.50539293e-223 1.07543858e+02 1.39979443e-225
1.14130240e+01 1.11752602e+02 8.37152318e-219 1.11752602e+02 7.49112146e-221
1.16559665e+01 1.16127487e+02 3.70892743e-214 1.16127487e+02 3.19384111e-216
1.19040805e+01 1.20674579e+02 1.31534249e-209 1.20674579e+02 1.08999136e-211
1.21574759e+01 1.25400147e+02 3.75137569e-205 1.25400147e+02 2.99152415e-207
1.24162652e+01 1.30310671e+02 8.64322902e-201 1.30310671e+02 6.63278684e-203
1.26805631e+01 1.35412844e+02 1.61594534e-196 1.35412844e+02 1.19334717e-198
1.29504871e+01 1.40713585e+02 2.46225869e-192 1.40713585e+02 1.74983722e-194
1.32261567e+01 1.46220041e+02 3.07078084e-188 1.46220041e+02 2.10010941e-190
1.35076944e+01 1.51939595e+02 3.14764151e-184 1.51939595e+02 2.07164006e-186
1.37952250e+01 1.57879875e+02 2.66267635e-180 1.57879875e+02 1.68652044e-182
1.40888761e+01 1.64048760e+02 1.86632188e-176 1.64048760e+02 1.13766290e-178
1.43887780e+01 1.70454388e+02 1.08815786e-172 1.70454388e+02 6.38386535e-175
1.46950638e+01 1.77105165e+02 5.29786782e-169 1.77105165e+02 2.99136833e-171
1.50078693e+01 1.84009770e+02 2.16195233e-165 1.84009770e+02 1.17491170e-167
1.53273332e+01 1.91177168e+02 7.42206590e-162 1.91177168e+02 3.88229724e-164
1.56535975e+01 1.98616613e+02 2.15130410e-158 1.98616613e+02 1.08314409e-160
1.59868067e+01 2.06337661e+02 5.28334665e-155 2.06337661e+02 2.56053433e-157
1.63271088e+01 2.14350180e+02 1.10318102e-151 2.14350180e+02 5.14662977e-154
1.66746547e+01 2.22664355e+02 1.96509537e-148 2.22664355e+02 8.82537022e-151
1.70295986e+01 2.31290699e+02 2.99611064e-145 2.31290699e+02 1.29538743e-147
1.73920979e+01 2.40240066e+02 3.92263267e-142 2.40240066e+02 1.63279703e-144
1.77623136e+01 2.49523658e+02 4.42406887e-139 2.49523658e+02 1.77300577e-141
1.81404099e+01 2.59153037e+02 4.31162204e-136 2.59153037e+02 1.66373587e-138
1.85265545e+01 2.69140135e+02 3.64213501e-133 2.69140135e+02 1.35324856e-135
1.89209188e+01 2.79497266e+02 2.67462181e-130 2.79497266e+02 9.56940241e-133
1.93236776e+01 2.90237136e+02 1.71248651e-127 2.90237136e+02 5.90030115e-130
1.97350097e+01 3.01372860e+02 9.58719164e-125 3.01372860e+02 3.18117287e-127
2.01550977e+01 3.12917965e+02 4.70619914e-122 3.12917965e+02 1.50397218e-124
2.05841278e+01 3.24886415e+02 2.03120462e-119 3.24886415e+02 6.25204542e-122
2.10222904e+01 3.37292614e+02 7.72870233e-117 3.37292614e+02 2.29139389e-119
2.14697800e+01 3.50151424e+02 2.59938001e-114 3.50151424e+02 7.42358830e-117
2.19267950e+01 3.63478181e+02 7.74747610e-112 3.63478181e+02 2.13148313e-114
2.23935382e+01 3.77288708e+02 2.05150082e-109 3.77288708e+02 5.43748271e-112
2.28702167e+01 3.91599328e+02 4.83810218e-107 3.91599328e+02 1.23547254e-109
2.33570420e+01 4.06426887e+02 1.01863562e-104 4.06426887e+02 2.50631946e-107
2.38542301e+01 4.21788765e+02 1.91924268e-102 4.21788765e+02 4.55024609e-105
2.43620015e+01 4.37702894e+02 3.24349683e-100 4.37702894e+02 7.41027046e-103
2.48805816e+01 4.54187780e+02 4.92781046e-98 4.54187780e+02 1.08497205e-100
2.54102004e+01 4.71262521e+02 6.74551807e-96 4.71262521e+02 1.43137164e-98
2.59510929e+01 4.88946825e+02 8.33760276e-94 4.88946825e+02 1.70521667e-96
2.65034991e+01 5.07261034e+02 9.32514878e-92 5.07261034e+02 1.83833336e-94
2.70676640e+01 5.26226144e+02 9.45722816e-90 5.26226144e+02 1.79717946e-92
2.76438380e+01 5.45863832e+02 8.71468067e-88 5.45863832e+02 1.59649351e-90
2.82322766e+01 5.66196478e+02 7.31115725e-86 5.66196478e+02 1.29127565e-88
2.88332411e+01 5.87247192e+02 5.59522105e-84 5.87247192e+02 9.52788047e-87
2.94469979e+01 6.09039842e+02 3.91360136e-82 6.09039842e+02 6.42585442e-85
3.00738194e+01 6.31599083e+02 2.50656251e-80 6.31599083e+02 3.96859744e-83
3.07139837e+01 6.54950391e+02 1.47272119e-78 6.54950391e+02 2.24859961e-81
