# ['MStar', 'MRate', 'incl']
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
19.74485205 0.00203008 63.87786325
