# ['MStar', 'MRate', 'Rdisc', 'cavity_ang', 'incl']
18.13442473 0.00080162 300.91786476 60.90502251 19.23493845
18.34153756 0.00078482 300.22344647 60.93753779 19.52984178
18.33151638 0.00078391 300.20231999 60.92708626 19.56781549
18.33151638 0.00078391 300.20231999 60.92708626 19.56781549
18.62003205 0.00074669 306.42766071 60.59280156 19.61006449
18.62003205 0.00074669 306.42766071 60.59280156 19.61006449
18.62003205 0.00074669 306.42766071 60.59280156 19.61006449
18.82558998 0.00076120 307.62927313 60.50844567 18.87665033
18.82558998 0.00076120 307.62927313 60.50844567 18.87665033
18.82558998 0.00076120 307.62927313 60.50844567 18.87665033
18.82558998 0.00076120 307.62927313 60.50844567 18.87665033
18.82558998 0.00076120 307.62927313 60.50844567 18.87665033
18.82558998 0.00076120 307.62927313 60.50844567 18.87665033
18.82558998 0.00076120 307.62927313 60.50844567 18.87665033
18.82558998 0.00076120 307.62927313 60.50844567 18.87665033
18.82558998 0.00076120 307.62927313 60.50844567 18.87665033
18.82558998 0.00076120 307.62927313 60.50844567 18.87665033
18.82558998 0.00076120 307.62927313 60.50844567 18.87665033
18.82558998 0.00076120 307.62927313 60.50844567 18.87665033
18.82558998 0.00076120 307.62927313 60.50844567 18.87665033
17.39096325 0.00073301 318.83718319 59.97102756 21.17419867
17.39096325 0.00073301 318.83718319 59.97102756 21.17419867
17.39096325 0.00073301 318.83718319 59.97102756 21.17419867
17.36579561 0.00073239 319.13101263 59.95978581 21.21944174
17.24453570 0.00070606 323.97807860 59.73267814 21.84090548
16.47129952 0.00069084 331.85213370 59.51544216 23.03946634
16.47129952 0.00069084 331.85213370 59.51544216 23.03946634
16.65850509 0.00071218 331.66007902 59.16023441 23.26974955
16.21828486 0.00069485 336.73183805 58.77143664 24.07968219
16.21828486 0.00069485 336.73183805 58.77143664 24.07968219
16.21828486 0.00069485 336.73183805 58.77143664 24.07968219
16.21828486 0.00069485 336.73183805 58.77143664 24.07968219
16.21828486 0.00069485 336.73183805 58.77143664 24.07968219
16.28358469 0.00070194 335.03403903 58.98276437 23.85967331
16.28358469 0.00070194 335.03403903 58.98276437 23.85967331
16.28358469 0.00070194 335.03403903 58.98276437 23.85967331
16.28358469 0.00070194 335.03403903 58.98276437 23.85967331
16.28358469 0.00070194 335.03403903 58.98276437 23.85967331
16.28358469 0.00070194 335.03403903 58.98276437 23.85967331
16.29717877 0.00073466 338.61416433 57.55548251 24.83366636
16.19769161 0.00073264 340.59048156 57.66835854 24.98685864
16.19769161 0.00073264 340.59048156 57.66835854 24.98685864
15.98816215 0.00072559 345.08814093 58.17807488 25.16037502
15.84690601 0.00071827 350.79945676 58.64735498 25.24315482
15.41936709 0.00070377 360.68880633 59.30372576 25.82081454
15.51537766 0.00069614 362.19402463 59.74844186 25.40470685
15.51537766 0.00069614 362.19402463 59.74844186 25.40470685
15.51537766 0.00069614 362.19402463 59.74844186 25.40470685
15.20034753 0.00067411 369.15417468 59.15261121 26.38789943
15.38542039 0.00068815 364.92040981 59.22318946 25.95989586
15.38542039 0.00068815 364.92040981 59.22318946 25.95989586
15.19375533 0.00066276 369.51094458 58.04419082 26.98233773
15.19375533 0.00066276 369.51094458 58.04419082 26.98233773
15.19375533 0.00066276 369.51094458 58.04419082 26.98233773
15.19375533 0.00066276 369.51094458 58.04419082 26.98233773
15.19375533 0.00066276 369.51094458 58.04419082 26.98233773
15.19375533 0.00066276 369.51094458 58.04419082 26.98233773
15.19375533 0.00066276 369.51094458 58.04419082 26.98233773
15.19375533 0.00066276 369.51094458 58.04419082 26.98233773
15.19375533 0.00066276 369.51094458 58.04419082 26.98233773
15.19375533 0.00066276 369.51094458 58.04419082 26.98233773
15.19375533 0.00066276 369.51094458 58.04419082 26.98233773
15.19375533 0.00066276 369.51094458 58.04419082 26.98233773
15.19375533 0.00066276 369.51094458 58.04419082 26.98233773
15.19375533 0.00066276 369.51094458 58.04419082 26.98233773
15.19375533 0.00066276 369.51094458 58.04419082 26.98233773
15.19375533 0.00066276 369.51094458 58.04419082 26.98233773
15.19375533 0.00066276 369.51094458 58.04419082 26.98233773
15.19375533 0.00066276 369.51094458 58.04419082 26.98233773
15.19375533 0.00066276 369.51094458 58.04419082 26.98233773
