# ['MStar', 'MRate', 'Rdisc', 'Arho0', 'cavity_ang', 'incl']
23.23293994 0.00073339 474.10738129 5.13278957 62.82966054 25.90920036
23.34282481 0.00079314 483.77339285 5.06706220 62.86678404 26.13636313
23.31161157 0.00078883 484.40417452 5.07607214 62.74770303 26.23832455
23.31161157 0.00078883 484.40417452 5.07607214 62.74770303 26.23832455
22.89998063 0.00075707 492.29440157 5.03453992 62.74925396 26.49253508
22.89998063 0.00075707 492.29440157 5.03453992 62.74925396 26.49253508
22.85928292 0.00072213 490.42436789 4.91461880 63.16065544 27.04723426
22.85928292 0.00072213 490.42436789 4.91461880 63.16065544 27.04723426
22.91250598 0.00071363 488.77914616 4.78930293 63.01233768 26.93303960
22.91250598 0.00071363 488.77914616 4.78930293 63.01233768 26.93303960
22.91250598 0.00071363 488.77914616 4.78930293 63.01233768 26.93303960
22.91250598 0.00071363 488.77914616 4.78930293 63.01233768 26.93303960
22.91250598 0.00071363 488.77914616 4.78930293 63.01233768 26.93303960
22.90798787 0.00071474 488.83567529 4.78339726 63.00643866 26.89643179
22.90798787 0.00071474 488.83567529 4.78339726 63.00643866 26.89643179
22.87522193 0.00074794 490.50505279 4.62241799 60.85614406 26.01021862
22.87522193 0.00074794 490.50505279 4.62241799 60.85614406 26.01021862
22.87522193 0.00074794 490.50505279 4.62241799 60.85614406 26.01021862
22.92059642 0.00073774 489.80954717 4.47817111 59.26119943 26.03254854
22.92059642 0.00073774 489.80954717 4.47817111 59.26119943 26.03254854
22.92059642 0.00073774 489.80954717 4.47817111 59.26119943 26.03254854
22.92059642 0.00073774 489.80954717 4.47817111 59.26119943 26.03254854
22.92059642 0.00073774 489.80954717 4.47817111 59.26119943 26.03254854
22.92059642 0.00073774 489.80954717 4.47817111 59.26119943 26.03254854
22.98028179 0.00074870 489.86468521 4.49991554 60.09324578 26.50674923
22.98028179 0.00074870 489.86468521 4.49991554 60.09324578 26.50674923
22.98028179 0.00074870 489.86468521 4.49991554 60.09324578 26.50674923
22.94578440 0.00076245 489.52942894 4.42664985 58.30719227 26.77915129
22.94578440 0.00076245 489.52942894 4.42664985 58.30719227 26.77915129
22.89675542 0.00078199 489.05295015 4.32252189 55.76878594 27.16629932
22.89675542 0.00078199 489.05295015 4.32252189 55.76878594 27.16629932
22.91154060 0.00078100 489.24982278 4.34789563 56.12472057 27.11176833
22.91154060 0.00078100 489.24982278 4.34789563 56.12472057 27.11176833
22.91154060 0.00078100 489.24982278 4.34789563 56.12472057 27.11176833
22.90825938 0.00078561 489.19264323 4.27882389 55.06970752 27.24621691
22.90825938 0.00078561 489.19264323 4.27882389 55.06970752 27.24621691
22.90825938 0.00078561 489.19264323 4.27882389 55.06970752 27.24621691
22.89387205 0.00078588 489.12809284 4.25690614 54.65200063 27.30713468
