# ['MStar', 'MRate']
17.73246218 0.00083018
17.85441996 0.00082643
17.85441996 0.00082643
17.98784886 0.00080357
17.98784886 0.00080357
17.95281060 0.00076086
18.01210317 0.00076150
18.01210317 0.00076150
18.13347357 0.00077460
18.22484336 0.00077280
18.22484336 0.00077280
18.21861327 0.00077294
18.21861327 0.00077294
18.21861327 0.00077294
18.24636445 0.00077741
18.24636445 0.00077741
18.20397706 0.00079040
18.28986617 0.00076408
18.22739177 0.00078322
18.22739177 0.00078322
18.22739177 0.00078322
18.32093613 0.00080559
18.32093613 0.00080559
18.32093613 0.00080559
19.99791363 0.00085249
19.99791363 0.00085249
19.99791363 0.00085249
20.83829754 0.00086658
21.03259402 0.00086984
20.68812744 0.00084963
22.19967069 0.00090100
22.19967069 0.00090100
22.19967069 0.00090100
22.19967069 0.00090100
22.19967069 0.00090100
22.19967069 0.00090100
22.19967069 0.00090100
22.19967069 0.00090100
22.25496460 0.00092097
22.21832553 0.00093956
22.21832553 0.00093956
23.43892383 0.00095857
23.74643817 0.00095434
24.26244517 0.00094724
24.65443634 0.00096811
25.17947956 0.00099606
26.22615102 0.00106133
26.22615102 0.00106133
26.55607907 0.00108190
26.55607907 0.00108190
25.48802428 0.00101530
25.23103252 0.00099944
26.12369635 0.00104321
25.61145059 0.00102686
26.05675700 0.00104787
26.05675700 0.00104787
25.95830014 0.00104249
25.12426671 0.00100419
25.03411678 0.00099566
24.89499857 0.00098545
24.60783284 0.00098760
25.14138833 0.00100119
25.14138833 0.00100119
24.98712511 0.00100332
24.98584773 0.00100333
25.02471474 0.00100485
25.02471474 0.00100485
24.45082602 0.00098103
24.37776826 0.00097987
24.37776826 0.00097987
24.89160697 0.00098806
24.89160697 0.00098806
24.88955168 0.00098837
24.88955168 0.00098837
24.88955168 0.00098837
25.05363651 0.00099219
25.05363651 0.00099219
25.12290960 0.00099301
25.12290960 0.00099301
25.14092778 0.00098310
25.14092778 0.00098310
25.14092778 0.00098310
25.14092778 0.00098310
25.34104444 0.00099942
25.34104444 0.00099942
25.34104444 0.00099942
24.64864727 0.00097692
25.15271894 0.00099330
25.15271894 0.00099330
25.15271894 0.00099330
24.86112062 0.00096467
25.09430951 0.00097811
25.09430951 0.00097811
25.09430951 0.00097811
25.09430951 0.00097811
25.09430951 0.00097811
25.35791604 0.00098891
25.35791604 0.00098891
25.09887231 0.00097386
25.74345571 0.00101130
25.74345571 0.00101130
25.83583695 0.00101703
25.83583695 0.00101703
25.83583695 0.00101703
26.10108681 0.00103350
26.10108681 0.00103350
25.91105725 0.00102657
25.91105725 0.00102657
26.02629282 0.00100831
26.68367738 0.00106064
26.68367738 0.00106064
26.68367738 0.00106064
26.68367738 0.00106064
26.68367738 0.00106064
26.60972482 0.00105899
27.04043049 0.00107613
27.04826140 0.00107659
27.01884835 0.00109262
26.58997621 0.00107737
26.65899918 0.00108323
26.65899918 0.00108323
26.83969253 0.00107961
27.06445592 0.00107946
27.45685985 0.00108209
27.11051916 0.00106061
26.35170066 0.00104872
27.10474126 0.00109259
26.58303312 0.00107624
26.07839019 0.00105526
26.35039111 0.00106208
26.65446555 0.00107300
26.71422562 0.00108708
26.72478502 0.00108795
26.86951277 0.00105713
26.43579993 0.00105864
26.60941880 0.00106723
27.78833717 0.00111292
27.89427301 0.00111236
27.94327560 0.00111510
27.94327560 0.00111510
27.94327560 0.00111510
27.94327560 0.00111510
27.94327560 0.00111510
27.92678677 0.00111046
27.03261353 0.00106400
27.03261353 0.00106400
27.03261353 0.00106400
27.12528721 0.00106102
27.12528721 0.00106102
26.97788091 0.00107245
27.31370825 0.00108608
27.41535631 0.00108417
27.17308841 0.00108615
27.42647299 0.00108705
26.51993160 0.00106254
26.46734478 0.00106160
26.21961929 0.00105718
26.54229099 0.00106278
26.97618940 0.00107031
26.97618940 0.00107031
27.23379491 0.00106487
27.34165103 0.00106259
27.97852482 0.00108755
27.97852482 0.00108755
27.88410828 0.00108605
27.88410828 0.00108605
27.88410828 0.00108605
26.69816642 0.00105335
27.36035161 0.00110545
26.92985548 0.00109211
26.92985548 0.00109211
26.62947768 0.00108377
26.90870100 0.00109329
25.99592513 0.00105993
26.09646990 0.00106314
26.14036479 0.00106759
26.24830015 0.00107564
26.14561547 0.00107308
26.47452500 0.00108128
26.80765468 0.00112216
26.80765468 0.00112216
26.87891326 0.00114090
26.68385172 0.00111239
26.68385172 0.00111239
25.92393018 0.00106834
26.35202173 0.00105312
26.17187829 0.00104846
25.55482299 0.00100904
25.63416201 0.00101410
25.59832389 0.00101160
26.11397191 0.00103395
26.17384562 0.00103251
26.07864966 0.00103295
25.70367997 0.00101336
25.73947280 0.00101878
25.79568053 0.00102115
25.82028695 0.00102219
25.80758354 0.00101448
26.51931483 0.00105388
27.82293258 0.00112606
17.76003959 0.00074861
17.76003959 0.00074861
17.93512290 0.00074799
17.94179698 0.00075279
18.05955638 0.00074976
18.05955638 0.00074976
18.05955638 0.00074976
18.05955638 0.00074976
18.05955638 0.00074976
18.05955638 0.00074976
18.05955638 0.00074976
18.06253134 0.00074782
18.06253134 0.00074782
18.06253134 0.00074782
18.06253134 0.00074782
18.05658033 0.00075169
18.06911217 0.00075339
18.06911217 0.00075339
18.06911217 0.00075339
18.07985759 0.00074795
18.07985759 0.00074795
18.07985759 0.00074795
18.07985759 0.00074795
18.07985759 0.00074795
19.60029704 0.00076339
19.60029704 0.00076339
19.60029704 0.00076339
19.69373385 0.00076957
20.23320438 0.00079038
20.23320438 0.00079038
20.96974665 0.00082206
20.96974665 0.00082206
20.96974665 0.00082206
21.16156171 0.00082668
21.16156171 0.00082668
22.34571986 0.00087490
22.34571986 0.00087490
22.34571986 0.00087490
22.31712415 0.00088942
22.31712415 0.00088942
22.31712415 0.00088942
22.20270329 0.00089694
22.20270329 0.00089694
23.36888333 0.00093218
23.36888333 0.00093218
23.36888333 0.00093218
23.36888333 0.00093218
23.72677263 0.00094836
23.72677263 0.00094836
23.72677263 0.00094836
23.72677263 0.00094836
23.91864483 0.00094638
23.91864483 0.00094638
23.98533363 0.00094383
23.90071205 0.00094706
25.72253760 0.00103112
25.64186407 0.00102520
26.11527469 0.00103651
26.02471009 0.00103164
26.48112614 0.00105030
26.36237645 0.00104670
26.42005805 0.00105853
26.81412041 0.00108516
27.51075500 0.00113225
27.51075500 0.00113225
27.51075500 0.00113225
27.27955010 0.00111972
27.38545300 0.00112826
26.85807890 0.00110180
26.34898851 0.00108878
26.53758613 0.00108874
26.53758613 0.00108874
26.53758613 0.00108874
26.33785866 0.00107424
26.42054496 0.00106011
26.42054496 0.00106011
27.37547967 0.00110029
27.37547967 0.00110029
26.53733154 0.00107197
26.53733154 0.00107197
26.73562084 0.00108459
26.12858166 0.00106626
26.10361229 0.00106742
26.04984763 0.00106992
26.04984763 0.00106992
25.49973814 0.00106077
25.32841524 0.00105944
25.32841524 0.00105944
25.21068534 0.00105486
25.35151414 0.00105624
25.20699378 0.00105223
25.18745958 0.00104728
25.18745958 0.00104728
25.22280037 0.00104804
25.22280037 0.00104804
25.21615106 0.00104442
25.19763522 0.00103434
24.73110573 0.00102534
24.68748536 0.00102335
24.68748536 0.00102335
24.79806011 0.00102311
25.28891813 0.00103445
25.27866057 0.00103312
25.27866057 0.00103312
25.67303517 0.00103330
25.27663225 0.00100000
24.23104724 0.00096526
24.23104724 0.00096526
24.23104724 0.00096526
24.36291878 0.00097321
24.62183705 0.00098296
24.62243366 0.00098301
24.78134970 0.00099243
24.77593552 0.00097364
24.74419492 0.00096513
24.25111781 0.00094129
24.25017647 0.00094122
24.25017647 0.00094122
24.22402976 0.00093491
24.22402976 0.00093491
24.22402976 0.00093491
24.05498819 0.00092156
24.33203170 0.00093981
24.33203170 0.00093981
24.33203170 0.00093981
24.14549504 0.00092017
24.14549504 0.00092017
24.99105320 0.00098104
24.95537248 0.00098692
24.95537248 0.00098692
25.06178157 0.00096940
25.39264971 0.00099296
25.33332374 0.00100170
25.40682979 0.00099087
25.72736701 0.00099824
25.72047322 0.00099822
25.72047322 0.00099822
25.76578003 0.00099713
25.81392230 0.00099597
26.45039253 0.00103158
26.45039253 0.00103158
26.45039253 0.00103158
26.59486435 0.00106583
26.62203967 0.00107227
26.62203967 0.00107227
26.92795111 0.00108860
26.92795111 0.00108860
26.65640627 0.00107302
26.65640627 0.00107302
27.15011230 0.00109612
27.15011230 0.00109612
27.15011230 0.00109612
27.15011230 0.00109612
26.93746757 0.00108289
27.00949146 0.00108518
26.89870647 0.00108178
27.37520212 0.00109679
27.37576571 0.00109887
27.37576571 0.00109887
27.33849799 0.00109620
26.89487266 0.00108371
26.89487266 0.00108371
27.90438008 0.00111568
27.90438008 0.00111568
27.91587967 0.00113249
