# ['MStar', 'MRate', 'molec_abund']
19.95213975 0.00206642 0.00000209
19.95213975 0.00206642 0.00000209
19.95213975 0.00206642 0.00000209
19.95213975 0.00206642 0.00000209
19.88254557 0.00206402 0.00000204
19.90022957 0.00206245 0.00000205
19.71132688 0.00202690 0.00000204
20.46259523 0.00196650 0.00000203
21.32088404 0.00183863 0.00000212
21.87013257 0.00166820 0.00000224
21.87013257 0.00166820 0.00000224
21.87013257 0.00166820 0.00000224
21.87319481 0.00166672 0.00000225
21.87319481 0.00166672 0.00000225
21.87319481 0.00166672 0.00000225
21.87319481 0.00166672 0.00000225
21.87319481 0.00166672 0.00000225
21.87319481 0.00166672 0.00000225
21.87319481 0.00166672 0.00000225
21.77469681 0.00154604 0.00000213
20.59619741 0.00168274 0.00000182
20.51049221 0.00168510 0.00000181
19.82826651 0.00166948 0.00000152
20.13912138 0.00161668 0.00000141
22.81909845 0.00151276 0.00000138
22.89249077 0.00146638 0.00000140
22.89249077 0.00146638 0.00000140
23.66842450 0.00097595 0.00000168
23.56463889 0.00100429 0.00000162
24.61435390 0.00092563 0.00000169
20.32285921 0.00201186 0.00000212
20.33260070 0.00200460 0.00000210
20.51381073 0.00200779 0.00000210
20.51381073 0.00200779 0.00000210
20.51381073 0.00200779 0.00000210
20.51381073 0.00200779 0.00000210
20.51381073 0.00200779 0.00000210
20.51381073 0.00200779 0.00000210
20.51381073 0.00200779 0.00000210
20.51381073 0.00200779 0.00000210
20.46042836 0.00200483 0.00000208
20.46042836 0.00200483 0.00000208
20.46042836 0.00200483 0.00000208
20.33167226 0.00197181 0.00000195
20.33167226 0.00197181 0.00000195
21.07942112 0.00180575 0.00000182
21.02089326 0.00180400 0.00000181
21.02089326 0.00180400 0.00000181
20.17064653 0.00187425 0.00000148
20.17064653 0.00187425 0.00000148
18.08052176 0.00198409 0.00000083
18.08052176 0.00198409 0.00000083
18.33482349 0.00196410 0.00000080
18.33482349 0.00196410 0.00000080
19.28865648 0.00188911 0.00000069
19.28865648 0.00188911 0.00000069
19.28865648 0.00188911 0.00000069
20.39417145 0.00164840 0.00000077
20.39417145 0.00164840 0.00000077
20.68743949 0.00169941 0.00000070
19.99392268 0.00201722 0.00000198
20.00393580 0.00201427 0.00000198
19.87546569 0.00200689 0.00000198
20.46078793 0.00208225 0.00000194
20.55137715 0.00204123 0.00000192
20.55908713 0.00202620 0.00000193
20.55908713 0.00202620 0.00000193
20.55908713 0.00202620 0.00000193
20.50070188 0.00202160 0.00000192
19.31776051 0.00208223 0.00000165
19.31776051 0.00208223 0.00000165
19.31776051 0.00208223 0.00000165
19.31776051 0.00208223 0.00000165
18.79006861 0.00211594 0.00000151
18.79006861 0.00211594 0.00000151
18.43436085 0.00214063 0.00000146
18.43436085 0.00214063 0.00000146
16.84016755 0.00221325 0.00000119
16.84016755 0.00221325 0.00000119
16.84016755 0.00221325 0.00000119
