# ['MStar', 'MRate', 'Rdisc']
20.37847508 0.00204949 138.10567169
20.37847508 0.00204949 138.10567169
20.37847508 0.00204949 138.10567169
19.76391147 0.00193779 173.52377108
19.55954105 0.00194038 181.42630192
18.97543432 0.00184573 221.05567546
18.82795383 0.00184245 230.35843060
18.60180440 0.00181946 242.18557303
17.27193189 0.00172615 289.49140973
16.48718153 0.00165845 324.67416796
16.48718153 0.00165845 324.67416796
13.33403907 0.00134488 419.84333230
13.33403907 0.00134488 419.84333230
13.33403907 0.00134488 419.84333230
13.33403907 0.00134488 419.84333230
13.33403907 0.00134488 419.84333230
13.33403907 0.00134488 419.84333230
13.33403907 0.00134488 419.84333230
13.33403907 0.00134488 419.84333230
13.33403907 0.00134488 419.84333230
13.33403907 0.00134488 419.84333230
13.33403907 0.00134488 419.84333230
13.33403907 0.00134488 419.84333230
13.33403907 0.00134488 419.84333230
12.56224799 0.00125913 491.84373192
14.28004537 0.00134778 413.84193616
14.28004537 0.00134778 413.84193616
14.28004537 0.00134778 413.84193616
14.28004537 0.00134778 413.84193616
14.41725321 0.00098866 441.81728661
14.97051140 0.00088879 409.58819122
15.60578158 0.00090333 394.82337426
15.60578158 0.00090333 394.82337426
17.24429180 0.00094693 382.57637228
16.34036205 0.00056327 443.69394114
16.34036205 0.00056327 443.69394114
20.71973808 0.00059774 417.71645692
20.71973808 0.00059774 417.71645692
20.71973808 0.00059774 417.71645692
20.71973808 0.00059774 417.71645692
20.71973808 0.00059774 417.71645692
20.71973808 0.00059774 417.71645692
24.25523991 0.00087681 405.79819994
24.23882657 0.00087009 408.90659601
24.23882657 0.00087009 408.90659601
24.23882657 0.00087009 408.90659601
24.23882657 0.00087009 408.90659601
24.23882657 0.00087009 408.90659601
24.25321771 0.00087603 409.77246546
24.25321771 0.00087603 409.77246546
24.69015869 0.00092539 410.50338909
25.75889887 0.00089217 431.96601339
26.54190250 0.00082315 452.45628417
26.54190250 0.00082315 452.45628417
26.54190250 0.00082315 452.45628417
28.62604557 0.00083974 483.82304465
28.62604557 0.00083974 483.82304465
28.68064484 0.00082217 489.90726427
28.68064484 0.00082217 489.90726427
28.68064484 0.00082217 489.90726427
28.68064484 0.00082217 489.90726427
28.68064484 0.00082217 489.90726427
30.02513271 0.00087703 502.75077404
30.41655979 0.00089445 505.21615796
31.49426962 0.00081010 532.45977875
34.81115360 0.00055050 616.30788564
34.63162803 0.00057811 615.06536514
33.67296314 0.00065324 570.68650874
33.67296314 0.00065324 570.68650874
33.67296314 0.00065324 570.68650874
33.67296314 0.00065324 570.68650874
33.62356556 0.00075013 570.56785459
34.06117549 0.00066362 616.68088500
34.18296893 0.00067224 618.91159601
34.18296893 0.00067224 618.91159601
34.18296893 0.00067224 618.91159601
34.18296893 0.00067224 618.91159601
34.19721046 0.00075093 612.30766594
34.19721046 0.00075093 612.30766594
34.19721046 0.00075093 612.30766594
34.39175628 0.00074574 602.77100448
34.39175628 0.00074574 602.77100448
36.10237877 0.00076493 659.35507834
36.22686526 0.00076926 658.65800797
36.22686526 0.00076926 658.65800797
36.22686526 0.00076926 658.65800797
36.22686526 0.00076926 658.65800797
36.22686526 0.00076926 658.65800797
36.36412965 0.00078567 652.89783204
36.36412965 0.00078567 652.89783204
36.36412965 0.00078567 652.89783204
36.34978826 0.00078537 652.10481412
36.34978826 0.00078537 652.10481412
36.34978826 0.00078537 652.10481412
36.34978826 0.00078537 652.10481412
36.34978826 0.00078537 652.10481412
36.34978826 0.00078537 652.10481412
