# ['MStar', 'MRate']
20.31087737 0.00204439
20.28065383 0.00202996
20.28065383 0.00202996
20.28065383 0.00202996
20.17774316 0.00201167
20.17774316 0.00201167
20.17774316 0.00201167
20.43814439 0.00203240
17.90309605 0.00168743
18.03155218 0.00169806
18.03155218 0.00169806
18.03155218 0.00169806
16.43105827 0.00150399
16.43105827 0.00150399
16.43105827 0.00150399
16.65591190 0.00149974
18.43829834 0.00169352
18.43829834 0.00169352
17.18645729 0.00151604
17.18645729 0.00151604
17.18645729 0.00151604
25.34391192 0.00190106
25.34391192 0.00190106
25.34391192 0.00190106
22.66976774 0.00166258
22.06444515 0.00155941
22.06444515 0.00155941
21.58050218 0.00146760
25.13676055 0.00165705
22.88287612 0.00146412
22.63832578 0.00139635
22.63832578 0.00139635
21.52654965 0.00122121
21.52654965 0.00122121
20.94476265 0.00112956
20.79003537 0.00097976
20.79003537 0.00097976
20.79003537 0.00097976
20.08146829 0.00079203
20.08146829 0.00079203
20.36255182 0.00076129
20.36255182 0.00076129
20.36255182 0.00076129
20.22481812 0.00072904
20.22481812 0.00072904
20.22481812 0.00072904
20.17697066 0.00072345
20.17697066 0.00072345
20.17697066 0.00072345
20.17697066 0.00072345
20.17697066 0.00072345
20.17697066 0.00072345
21.08845491 0.00068154
21.08845491 0.00068154
21.08845491 0.00068154
21.08845491 0.00068154
21.08845491 0.00068154
21.40134676 0.00069646
22.51691890 0.00069057
23.74038412 0.00079268
23.74038412 0.00079268
23.74038412 0.00079268
23.74038412 0.00079268
23.74038412 0.00079268
23.74038412 0.00079268
24.25928561 0.00075038
24.25928561 0.00075038
24.25928561 0.00075038
24.25928561 0.00075038
24.25928561 0.00075038
24.25928561 0.00075038
24.37889003 0.00074888
24.37889003 0.00074888
24.37889003 0.00074888
26.42993538 0.00076014
26.42993538 0.00076014
26.42993538 0.00076014
26.42993538 0.00076014
27.38373219 0.00078096
27.38373219 0.00078096
27.38373219 0.00078096
27.38373219 0.00078096
29.68778393 0.00090216
29.68778393 0.00090216
30.42904352 0.00089383
30.49218981 0.00089312
30.49218981 0.00089312
30.80429909 0.00089708
32.33934201 0.00093413
32.31852566 0.00092604
32.31852566 0.00092604
32.31852566 0.00092604
32.31852566 0.00092604
32.31852566 0.00092604
32.91992624 0.00091282
32.91992624 0.00091282
32.91992624 0.00091282
32.91992624 0.00091282
32.91992624 0.00091282
35.24409338 0.00095256
19.74492993 0.00198130
19.74594808 0.00198122
19.56167484 0.00195481
19.35578012 0.00192129
19.35578012 0.00192129
19.63435537 0.00193568
19.93705425 0.00194559
19.93705425 0.00194559
20.08300686 0.00194682
20.08300686 0.00194682
20.08300686 0.00194682
20.08300686 0.00194682
20.08300686 0.00194682
24.50460006 0.00210828
24.50460006 0.00210828
24.50460006 0.00210828
26.79677681 0.00227762
26.79677681 0.00227762
25.45521834 0.00213938
25.45521834 0.00213938
25.45521834 0.00213938
25.46786374 0.00213949
25.46786374 0.00213949
25.46786374 0.00213949
25.46786374 0.00213949
23.10922176 0.00184291
21.62204889 0.00128505
19.00259239 0.00097855
19.00259239 0.00097855
19.00259239 0.00097855
19.00259239 0.00097855
14.16429809 0.00050986
14.16429809 0.00050986
14.16429809 0.00050986
14.16429809 0.00050986
14.16429809 0.00050986
14.16429809 0.00050986
14.16429809 0.00050986
14.16429809 0.00050986
14.56647609 0.00053972
15.83888074 0.00062097
15.83888074 0.00062097
15.83888074 0.00062097
15.83888074 0.00062097
15.83888074 0.00062097
21.02002149 0.00087159
21.02002149 0.00087159
21.43010925 0.00072823
21.43010925 0.00072823
21.43010925 0.00072823
21.43010925 0.00072823
24.07786553 0.00072612
24.84626778 0.00074321
24.84626778 0.00074321
24.84626778 0.00074321
24.84626778 0.00074321
24.84626778 0.00074321
24.38104621 0.00068072
24.38104621 0.00068072
25.51877411 0.00077226
25.51877411 0.00077226
26.84654358 0.00085029
26.42756476 0.00072885
27.48834993 0.00079341
28.95296135 0.00079370
28.95296135 0.00079370
28.95296135 0.00079370
28.98268828 0.00069087
28.98268828 0.00069087
